checkIDs	PersonID	OrgID	EventID	From	To	Role	Acting	RoleName_en	RoleName_uk
 	СтепанІвановичКубів.1962	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	deputyHead		First Vice Prime Minister	Перший віце-прем'єр-міністр України
 	СтепанІвановичКубів.1962	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	minister		Minister of Economical Development and Trade	Міністр економічного розвитку і торгівлі України
 ERR:org	СтепанІвановичКубів.1962	pp.BPP;pp.ES		2014-10-26		member			
 	ІваннаОрестівнаКлимпуш-Цинцадзе.1972	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	deputyHead		Vice Prime Minister	Віце-прем'єр-міністр України
 ERR:org	ІваннаОрестівнаКлимпуш-Цинцадзе.1972	pp.BPP;pp.ES		2014-10-26		nominated			
 ERR:org	ІваннаОрестівнаКлимпуш-Цинцадзе.1972	pp.BPP;pp.ES		2019-07-21		nominated			
 	ВолодимирЄвсевійовичКістіон.1965	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	deputyHead		Vice Prime Minister	Віце-прем'єр-міністр України
 ERR:org	ВолодимирЄвсевійовичКістіон.1965	pp.BPP;pp.ES		2015		nominated			
 	ВолодимирЄвсевійовичКістіон.1965	pp.USH		2020		member			
 	ТарасВікторовичКутовий.1976	GOV.UA	GOV.UA.Hroisman	2016-04-14	2018-11-22	minister		Minister of Agrarian Policy and Food	Міністр аграрної політики та продовольства України
 	ТарасВікторовичКутовий.1976	pp.UD		2012-10-28		member			
 ERR:org	ТарасВікторовичКутовий.1976	pp.independent		2014-10-26		nominated			
 	МаксимПетровичМартинюк.1977	GOV.UA	GOV.UA.Hroisman	2018-11-22	2019-02-06	minister	1	Minister of Agrarian Policy and Food	Міністр аграрної політики та продовольства України
 	МаксимПетровичМартинюк.1977	pp.BUT		2007		nominated			
 	ОльгаВасилівнаТрофімцева.1976	GOV.UA	GOV.UA.Hroisman	2019-02-06	2019-08-29	minister	1	Minister of Agrarian Policy and Food	Міністр аграрної політики та продовольства України
 ERR:org	ОльгаВасилівнаТрофімцева.1976	pp.independent							
 	ІгорСтепановичНасалик.1962	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	minister		Minister of Energy and Coal Industry 	Міністр енергетики та вугільної промисловості України
 ERR:org	ІгорСтепановичНасалик.1962	pp.BPP;pp.ES		2014-10-26		nominated			
 	ІгорСтепановичНасалик.1962	pp.UP		2010	2012	head		Chairman of the Political Council of the Ukrainian Party	Голова Політичної Ради Української партії
 	ВолодимирВолодимировичОмелян.1979	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	minister		Minister of Infrastructure	Міністр інфраструктури України
 	ВолодимирВолодимировичОмелян.1979	pp.NF		2016		nominated			
 	ЛіліяМихайлівнаГриневич.1965	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	minister		Minister of Education and Science	Міністр освіти і науки України
 	ЛіліяМихайлівнаГриневич.1965	pp.BUT		2012-10-28		nominated			
 	ЛіліяМихайлівнаГриневич.1965	pp.NF		2014-10-26		member			
 	ЛіліяМихайлівнаГриневич.1965	pp.USH		2019		nominated			
 	ОлександраСергіївнаПавленко.1982	GOV.UA	GOV.UA.Hroisman	2016-04-14	2016-04-27	minister	1	Minister of Healthcare	Міністр охорони здоров'я України
 ERR:org	ОлександраСергіївнаПавленко.1982	pp.BPP;pp.ES		2014		nominated 			
 	ВікторВікторовичШафранський.1968	GOV.UA	GOV.UA.Hroisman	2016-04-27	2014-07-31	minister	1	Minister of Healthcare	Міністр охорони здоров'я України
 ERR:org	ВікторВікторовичШафранський.1968	pp.independent							
 	УлянаНадіяСупрун.1963	GOV.UA	GOV.UA.Hroisman	2016-08-01	2019-08-29	minister	1	Minister of Healthcare	Міністр охорони здоров'я України
 ERR:org	УлянаНадіяСупрун.1963	pp.independent							
